Project,Capacity,Item No.,PO Number,Description,Supplier,Milestone,Milestone %,Amount Due (Commitment),Contract (ex-VAT),VAT 7%,Contract (incl. VAT),Invoice No.,Invoice Date,Invoice Value,Paid,Invoice Balance,Not Yet Invoiced,Paid Date,Planned Date,Payment Amount
Naresuan University,12 MW,9,PSS2025-007/M2,PSS2025-007 (MATRIX INTERFACE) MOUNTING SUPPORT STRUCTURE for Naresuan,Matrix Interface,M2,-,"419,884.33",,,,CBNHQ2502032,31/3/2025,"419,884.33","419,884.33",,,04/01/2025,,"419,884.33"
Naresuan University,12 MW,9,PSS2025-007/M3,PSS2025-007 (MATRIX INTERFACE) MOUNTING SUPPORT STRUCTURE for Naresuan,Matrix Interface,M3,-,"466,869.56",,,,CBNHQ2504019,28/4/2025,"466,869.56","466,869.56",,,05/01/2025,,"466,869.56"
Naresuan University,12 MW,10,PSS2025-015 R.1/M1,PSS2025-015 R.1 Supply and installation of Solar System Naresuan University_Parabolic,Parabolic,M1,-,"6,955,000.00","40,287,386.08","2,820,117.03","43,107,503.11",10956,10/02/2025,"6,955,000.00","6,955,000.00",,,02/01/2025,,"6,955,000.00"
Naresuan University,12 MW,10,PSS2025-015 R.1/M2,PSS2025-015 R.1 Supply and installation of Solar System Naresuan University_Parabolic,Parabolic,M2,-,"3,477,500.00",,,,11047,19/3/2025,"3,477,500.00","3,477,500.00",,,04/01/2025,,"3,477,500.00"
Naresuan University,12 MW,10,PSS2025-015 R.1/M3,PSS2025-015 R.1 Supply and installation of Solar System Naresuan University_Parabolic,Parabolic,M3,-,"11,676,427.53",,,,11198,04/06/2025,"11,676,427.53","11,676,427.53",,0.00,07/01/2025,,"11,676,427.53"
Naresuan University,12 MW,10,PSS2025-015 R.1/M4,PSS2025-015 R.1 Supply and installation of Solar System Naresuan University_Parabolic,Parabolic,M4,-,"9,115,787.00",,,,11378,26/8/2025,"9,115,787.00","9,115,787.00",,,09/01/2025,,"9,115,787.00"
Naresuan University,12 MW,10,PSS2025-015 R.1/M5,PSS2025-015 R.1 Supply and installation of Solar System Naresuan University_Parabolic,Parabolic,M5,-,"6,459,010.19",,,,11559,21/102568,"6,459,010.19","6,459,010.19",,,11/01/2025,,"6,459,010.19"
Naresuan University,12 MW,10,PSS2025-015 R.1/M6,PSS2025-015 R.1 Supply and installation of Solar System Naresuan University_Parabolic,Parabolic,M6,-,"5,423,778.39",,,,11754,25/12/2025,"5,423,778.39","5,423,778.39",,,01/01/2026,,"5,423,778.39"
Naresuan University,12 MW,12,PSS2025-028/M1,PSS2025-028 Transformer 2000 kVA. for Naresuan_QTC,QTC,M1,-,"272,850.00",,,"909,500.00",DR-2025300074,27/03/2025,"272,850.00","272,850.00",,,03/01/2025,,"272,850.00"
Naresuan University,12 MW,12,PSS2025-028/M2,PSS2025-028 Transformer 2000 kVA. for Naresuan_QTC,QTC,M2,-,"636,650.00",,,,DR-20250800038,13/8/2025,"636,650.00","636,650.00",,,09/01/2025,,"636,650.00"
Naresuan University,12 MW,13,PSS2025-060,PSS2025-060 MOUNTING SUPPORT STRUCTURE (Additional) for Naresuan_Metrix,Matrix Interface,,,"125,101.01","116,916.83","8,184.18","125,101.01",IVHQ25040072,25/04/2025,"125,101.01","125,101.01",,,04/01/2025,,"125,101.01"
Naresuan University,12 MW,14,PSS2025-064,PSS2025-064 MOUNTING SUPPORT STRUCTURE (Additional) for Naresuan_Matrix,Matrix Interface,,,"261,179.08","244,092.60","17,086.48","261,179.08",IVHQ25050078,22/05/2025,"261,179.08","261,179.08",,,07/01/2025,,"261,179.08"
Naresuan University,12 MW,15,PSS2025-068,PSS2025-068 MOUNTING SUPPORT STRUCTURE (Additional) Transportation for Naresuan_Matrix,Matrix Interface,,,"8,025.00","7,500.00",525.00,"8,025.00",IVHQ25050079,22/05/2025,"8,025.00","8,025.00",,,07/01/2025,,"8,025.00"
Naresuan University,12 MW,16,PSS2025-030/M1,"PSS2025-030 (CPT Drives) MDB, DB for Naresuan University",CPT Drives,M1,-,"2,140,000.00","10,000,000.00","700,000.00","10,700,000.00",DINV25/06/0593,30/06/2025,"2,140,000.00","2,140,000.00",,,07/01/2025,,"2,140,000.00"
Naresuan University,12 MW,16,PSS2025-030/M2,"PSS2025-030 (CPT Drives) MDB, DB for Naresuan University",CPT Drives,M2,-,"1,564,768.00",,,,INV25/08/219,14/08/2025,"1,564,768.00","1,564,768.00",,,02/01/2026,,"1,564,768.00"
Naresuan University,12 MW,16,PSS2025-030/M3,"PSS2025-030 (CPT Drives) MDB, DB for Naresuan University",CPT Drives,M3,-,"1,641,808.00",,,,INV25/08/220,14/08/2025,"1,641,808.00","1,641,808.00",,,02/01/2026,,"1,641,808.00"
Naresuan University,12 MW,16,PSS2025-030/M4,"PSS2025-030 (CPT Drives) MDB, DB for Naresuan University",CPT Drives,M4,-,"5,353,424.00",,,,INV25/09/242,09/03/2025,"5,353,424.00","5,353,424.00",,,11/01/2025,,"5,353,424.00"
Naresuan University,12 MW,17,PSS2025-084,PSS2025-084 Roof repair for Naresuan_Apichaya,Apichaya,,,"45,000.00","45,000.00",,"45,000.00",,10/01/2025,"45,000.00","45,000.00",,,10/01/2025,,"45,000.00"
Naresuan University,12 MW,18,PSS2025-086,PSS2025-086 (TEXPLORE) Mooring and Anchoring System for Naresuan,Texplore,,,"1,771,920.00","1,656,000.00","115,920.00","1,771,920.00",BIDP1-25070008,17/07/2025,"1,771,920.00","1,771,920.00",,,10/01/2025,,"1,771,920.00"
Naresuan University,12 MW,19,PSS2025-087/M1,PSS2025-087 (TEXPLORE) Floating Solar Solutions for Naresuan,Texplore,M1,-,"1,860,516.00","5,796,000.00","405,720.00","6,201,720.00",VG2507170001,17/07/2025,"1,860,516.00","1,860,516.00",,,10/01/2025,,"1,860,516.00"
Naresuan University,12 MW,20,PSS2025-087/M2,PSS2025-087 (TEXPLORE) Floating Solar Solutions for Naresuan,Texplore,M2,-,"4,341,204.00",,,,BI11-25100208,02/09/2026,"4,341,204.00",,"4,341,204.00",,,04/02/2026,"4,341,204.00"
Naresuan University,12 MW,21,PSS2025-099 R.2,"PSS2025-099 R.2 (POLYTECHNOLOGY) Inverter, Optimizer, Smart Logger and Dongle for Naresuan",Polytechnology,,-,"14,600,874.26","13,645,676.88","2,200,140.00","14,600,874.26",CRL25-08-00036,18/08/2025,"14,600,874.26","14,600,874.26",,,10/01/2025,,"14,600,874.26"
Naresuan University,12 MW,22,PSS2025-166,"PSS2025-166 Inverter, Optimizer, Smart Logger (BOI) for Naresuan_Polytech",Polytechnology,,-,"17,119,831.50","15,999,842.52","1,119,988.98","17,119,831.50",CRL25-11-00006,11/03/2025,"17,119,831.50",,"17,119,831.50",,,04/02/2026,"17,119,831.50"
Naresuan University,12 MW,23,PSS2025-132,"PSS2025-132 (POLYTECHNOLOGY) Inverter, Smart Logger (Solar Floating) and Dongle (Solar Rooftop) Non BOI for Naresuan",Polytechnology,,-,"2,056,319.58","1,921,794.00","134,525.58","2,056,319.58",CRL25-11-00004,11/03/2025,"2,056,319.58",,"2,056,319.58",,,04/02/2026,"2,056,319.58"
Naresuan University,12 MW,24,PSS2025-127,PSS2025-127 (CPT) MDB PANEL - Change the cabinet. for Naresuan University,CPT Drives,,,"26,750.00","25,000.00","1,750.00","26,750.00",INV25/09/243,09/03/2025,"26,750.00","26,750.00",,,01/01/2026,,"26,750.00"
Naresuan University,12 MW,25,PSS2025-138,PSS2025-138 Modify the cabinet type from indoor to outdoor-MDB DB for Naresuan_CPT,CPT Drives,,,"226,840.00","212,000.00","14,840.00","226,840.00",INV25/09/249,09/10/2025,"226,840.00","226,840.00",,,01/01/2026,,"226,840.00"
Naresuan University,12 MW,26,PSS2025-141/M1,PSS2025-141 RMU for Naresaun_Precision Power,CPT Drives,M1,-,"308,160.00","576,000.00","40,320.00","616,320.00",BL2025090042,15/09/2025,"308,160.00","308,160.00",,,09/01/2025,,"308,160.00"
Naresuan University,12 MW,26,PSS2025-141/M2,PSS2025-141 RMU for Naresaun_Precision Power,CPT Drives,M2,-,"308,160.00",,,,BL2025100029,10/09/2025,"308,160.00","308,160.00",,,11/01/2025,,"308,160.00"
Naresuan University,12 MW,27,PSS2025-143,PSS2025-143 Modify MDB add Ground Mount for Naresuan_CPT,CPT Drives,,,"102,292.00","95,600.00","6,692.00","102,292.00",INV25/10/260,10/07/2025,"102,292.00","102,292.00",,,11/01/2025,,"102,292.00"
Naresuan University,12 MW,28,PSS2025-152,PSS2025-152 PV Connector (MC4) for Naresuan_Staubli,Staubli,,,"90,667.52","84,736.00","5,931.52","90,667.52",89113,10/08/2025,"90,667.52","90,667.52",,,11/01/2025,,"90,667.52"
Naresuan University,12 MW,29,PSS2025-154,"PSS2025-154 Import, Customs Clearance and Transport Charge (Optimizer) for Naresuan_Best Overseas",Best Overseas,,,"55,105.00","51,500.00","3,605.00","55,105.00",BEST2510030,10/07/2025,"55,105.00","55,105.00",,,11/01/2025,,"55,105.00"
Naresuan University,12 MW,30,PSS2025-156/M1,PSS2025-156 Forklift for PV Module for Naresuan_PSC,Advance by Niramon,M1,-,"9,630.00","19,000.00","1,330.00","20,330.00",PSCIV68100174,10/12/2025,"9,630.00","9,630.00",,,11/01/2025,,"9,630.00"
Naresuan University,12 MW,30,PSS2025-156/M2,PSS2025-156 Forklift for PV Module for Naresuan_PSC,Advance by Niramon,M2,-,"10,700.00",,,,PSCIV68100175,10/12/2025,"10,700.00","10,700.00",,,11/01/2025,,"10,700.00"
Naresuan University,12 MW,31,PSS2025-157,PSS2025-157 Hiab for PV Module for Naresuan_Mr. Phongphuek,Advance by Niramon,,,"13,000.00","12,149.53",850.47,"13,000.00",,13/10/2025,"13,000.00","13,000.00",,,11/01/2025,,"13,000.00"
Naresuan University,12 MW,32,,"Site management Fee & Materials transportation ,Logistic",TBA,Expense,,"147,500.00","1,180,000.00",,"1,180,000.00",,10/01/2025,,,,"147,500.00",,10/01/2025,"147,500.00"
Naresuan University,12 MW,33,,"Site management Fee & Materials transportation ,Logistic",TBA,Expense,,"147,500.00",,,,,10/01/2025,,,,"147,500.00",,11/01/2025,"147,500.00"
Naresuan University,12 MW,34,,"Site management Fee & Materials transportation ,Logistic",TBA,Expense,,"147,500.00",,,,,10/01/2025,,,,"147,500.00",,12/01/2025,"147,500.00"
Naresuan University,12 MW,35,,"Site management Fee & Materials transportation ,Logistic",TBA,Expense,,"147,500.00",,,,,10/01/2025,,,,"147,500.00",,01/01/2026,"147,500.00"
Naresuan University,12 MW,36,,"Site management Fee & Materials transportation ,Logistic",TBA,Expense,,"147,500.00",,,,,10/01/2025,,,,"147,500.00",,02/01/2026,"147,500.00"
Naresuan University,12 MW,37,,"Site management Fee & Materials transportation ,Logistic",TBA,Expense,,"147,500.00",,,,,10/01/2025,,,,"147,500.00",,03/01/2026,"147,500.00"
Naresuan University,12 MW,38,,"Site management Fee & Materials transportation ,Logistic",TBA,Expense,,"147,500.00",,,,,10/01/2025,,,,"147,500.00",,04/02/2026,"147,500.00"
Naresuan University,12 MW,39,,"Site management Fee & Materials transportation ,Logistic",TBA,Expense,,"147,500.00",,,,,10/01/2025,,,,"147,500.00",,05/04/2026,"147,500.00"
Naresuan University,12 MW,40,,Other Benefits for University,TBA,M1,-,,"3,000,000.00",,"3,000,000.00",,03/01/2026,,,,"3,000,000.00",,03/01/2026,"3,000,000.00"
Naresuan University,12 MW,41,,Consulting Fee For Naresuan PJ # Final,Kh.EKKAWUT PHONGSAKKAMOL,M2,-,"145,500.00","145,500.00",,"145,500.00",,12/01/2024,"145,500.00","145,500.00",,,12/01/2024,,"145,500.00"
Naresuan University,12 MW,42,,Consultancy for Naresuan 25%,Kh.Prot Sosothikul,M3,-,"1,233,928.25","1,233,928.25",,"1,233,928.25",,12/01/2024,"1,233,928.25","1,233,928.25",,,12/01/2024,,"1,233,928.25"
Naresuan University,12 MW,43,,Consultancy for Naresuan 25%,Kh.Rohit Powrel,M4,-,"1,233,928.25","1,233,928.25",,"1,233,928.25",,12/01/2024,"1,233,928.25","1,233,928.25",,,12/01/2024,,"1,233,928.25"
Naresuan University,12 MW,44,,Consultancy for Naresuan 25%,Kh.Prot Sosothikul,M5,-,"1,233,928.25","1,233,928.25",,"1,233,928.25",,12/01/2025,"1,233,928.25","1,233,928.25",,,12/01/2025,,"1,233,928.25"
Naresuan University,12 MW,45,,Consultancy for Naresuan 25%,Kh.Rohit Powrel,M6,-,"1,233,928.25","1,233,928.25",,"1,233,928.25",,12/01/2025,"1,233,928.25","1,233,928.25",,,12/01/2025,,"1,233,928.25"
Naresuan University,12 MW,46,,Penalty Consultancy for Naresuan,Kh.Prot Sosothikul,M7,-,"9,972.84","9,972.84",,"9,972.84",,12/01/2025,"9,972.84","9,972.84",,,12/01/2025,,"9,972.84"
Naresuan University,12 MW,47,,Penalty Consultancy for Naresuan,Kh.Rohit Powrel,M8,-,"9,972.84","9,972.84",,"9,972.84",,12/01/2025,"9,972.84","9,972.84",,,12/01/2025,,"9,972.84"
Naresuan University,12 MW,48,,Consultancy for Naresuan 50%,Kh.Prot Sosothikul,M9,-,"2,482,856.50","2,482,856.50",,"2,482,856.50",,03/01/2025,"2,482,856.50","2,482,856.50",,,03/01/2026,,"2,482,856.50"
Naresuan University,12 MW,49,,Consultancy for Naresuan 50%,Kh.Rohit Powrel,M10,-,"2,482,856.50","2,482,856.50",,"2,482,856.50",,03/01/2025,"2,482,856.50","2,482,856.50",,,03/01/2026,,"2,482,856.50"
Naresuan University,12 MW,50,EXP-NAR-BD1,Commission (Apartment),Khun N,M11,-,"10,000,000.00","10,000,000.00",,"10,000,000.00",,12/01/2024,"10,000,000.00","10,000,000.00",,,12/01/2024,,"10,000,000.00"
Naresuan University,12 MW,51,,Additional Work AC Cable,TBA,M13,-,,"4,000,000.00",,"4,000,000.00",,,,,,"4,000,000.00",,06/05/2026,"4,000,000.00"
Naresuan University,12 MW,C1,,Trip to Phitsanulok & Kamphaeng Phet (17-19 Jan 2024),Advance Kh.Nakkarin,Expense,,,"60,000.00",,"60,000.00",,12/01/2024,"60,000.00","60,000.00",,,12/01/2024,,"60,000.00"
Naresuan University,12 MW,C2,,Trip to Phitsanulok & Nakonsawan (21-23 Feb 2024),Advance Kh.Nakkarin,Expense,,,"60,000.00",,"60,000.00",,12/01/2024,"60,000.00","60,000.00",,,12/01/2024,,"60,000.00"
Naresuan University,12 MW,C3,,Trip to Phitsanulok (14-15 Mar 2024),Advance Kh.Nakkarin,Expense,,,"20,944.00",,"20,944.00",,12/01/2024,"20,944.00","20,944.00",,,12/01/2024,,"20,944.00"
Naresuan University,12 MW,C4,,Site survey to Naresuan University,Advance Kh.Chaweng,Expense,,,"20,000.00",,"20,000.00",,12/01/2024,"20,000.00","20,000.00",,,12/01/2024,,"20,000.00"
Naresuan University,12 MW,C5,,survey Work Project Naresuan University,Advance Kh.Suwit,Expense,,,"5,831.01",,"5,831.01",,12/01/2024,"5,831.01","5,831.01",,,12/01/2024,,"5,831.01"
Naresuan University,12 MW,C6,,Expense the travel meet customer naresuan,Advance Kh.Chaweng,Expense,,,"15,683.00",,"15,683.00",,12/01/2024,"15,683.00","15,683.00",,,12/01/2024,,"15,683.00"
Naresuan University,12 MW,C7,,Expense the travel meet customer naresuan (Food & Drink),Advance Kh.Chaweng,Expense,,,"1,629.00",,"1,629.00",,12/01/2024,"1,629.00","1,629.00",,,12/01/2024,,"1,629.00"
Naresuan University,12 MW,C8,,Expense the travel meet customer naresuan,Advance Kh.Chaweng,Expense,,,"2,830.00",,"2,830.00",,12/01/2024,"2,830.00","2,830.00",,,12/01/2024,,"2,830.00"
Naresuan University,12 MW,C9,,Travel to work at Naresuan University project,Advance Kh.Suwit,Expense,,,"7,890.00",,"7,890.00",,12/01/2024,"7,890.00","7,890.00",,,12/01/2024,,"7,890.00"
Naresuan University,12 MW,C10,,Stamp Duty of PPA Contract Solar Project Naresuan,Advance Niramon,Expense,,,"250,000.00",,"250,000.00",,12/01/2024,"250,000.00","250,000.00",,,12/01/2024,,"250,000.00"
Naresuan University,12 MW,C11,,"Oil and van rental ,Food for The Travel signed contract with Naresuan University",Advance Kh.Chaweng,Expense,,,"8,861.00",,"8,861.00",,12/01/2024,"8,861.00","8,861.00",,,12/01/2024,,"8,861.00"
Naresuan University,12 MW,C12,,Travel to work at Naresuan University project on 23-24 Sep 2024,Advance Niramon,Expense,,,"15,182.00",,"15,182.00",,12/01/2024,"15,182.00","15,182.00",,,12/01/2024,,"15,182.00"
Naresuan University,12 MW,C13,,Trip to Phitsanulok Naresuan University project (5-6 Sep 2024),Advance Kh.Nakkarin,Expense,,,"100,282.00",,"100,282.00",,12/01/2024,"100,282.00","100,282.00",,,12/01/2024,,"100,282.00"
Naresuan University,12 MW,C14,,Travel to work at Naresuan University project,Advance Kh.Suwit,Expense,,,"11,275.40",,"11,275.40",,12/01/2024,"11,275.40","11,275.40",,,12/01/2024,,"11,275.40"
Naresuan University,12 MW,C15,,Travel to work at Naresuan University project Meeting,Advance Kh.Suraphol,Expense,,,"10,175.00",,"10,175.00",,12/01/2024,"10,175.00","10,175.00",,,12/01/2024,,"10,175.00"
Naresuan University,12 MW,C16,,Travel to work at Naresuan University project Meeting,Advance Kh.Suraphol,Expense,,,"5,809.00",,"5,809.00",,12/01/2024,"5,809.00","5,809.00",,,12/01/2024,,"5,809.00"
Naresuan University,12 MW,C17,,Travel to work at Naresuan University project Meeting,K. Niramon,Expense,,,295.00,,295.00,,12/01/2024,295.00,295.00,,,12/01/2024,,295.00
Naresuan University,12 MW,C18,,Travel to work outside at Naresuan University on 03-06 Feb 2025,Advance Kh.Suraphol,Expense,,,"10,000.00",,"10,000.00",,02/01/2025,"10,000.00","10,000.00",,,02/01/2025,,"10,000.00"
Naresuan University,12 MW,C19,,Expense for Naresuan University project (for 3 Month ),Advance K.Suraphol,Expense,,,"17,816.00",,"17,816.00",,02/01/2025,"17,816.00","17,816.00",,,02/01/2025,,"17,816.00"
Naresuan University,12 MW,C21,,Meeting and working outside at NU on 25 Apr 2025,Advance Kh.Suwit,Expense,,,"2,697.00",,"2,697.00",,02/01/2025,"2,697.00","2,697.00",,,02/01/2025,,"2,697.00"
Naresuan University,12 MW,C22,,Expense for Naresuan University project (for 3 Month ),Advance K.Suraphol,Expense,,,"20,000.00",,"20,000.00",,02/01/2025,"20,000.00","20,000.00",,,02/01/2025,,"20,000.00"
Naresuan University,12 MW,C23,,Expense for Naresuan University project (for 3 Month ),Advance K.Tanawat,Expense,,,"30,000.00",,"30,000.00",,02/01/2025,"30,000.00","30,000.00",,,02/01/2025,,"30,000.00"
Naresuan University,12 MW,C24,,Expense for Naresuan University project (for 3 Month ),Advance K. Boonyuen,Expense,,,"20,000.00",,"20,000.00",,02/01/2025,"20,000.00","20,000.00",,,02/01/2025,,"20,000.00"
Naresuan University,12 MW,C25,,Expense Claim for Meeting Naresuan Project,Advance Kh.Nakkarin,Expense,,,"6,580.00",,"6,580.00",,01/01/2026,"6,580.00","6,580.00",,,01/01/2026,,"6,580.00"
Naresuan University,12 MW,C26,,Travel to work at Naresuan University project,Advance Kh.Thanawat,Expense,,,500.00,,500.00,,01/01/2026,500.00,500.00,,,01/01/2026,,500.00
Naresuan University,12 MW,C27,,Expense for Naresuan University project (for 3 Month ),Advance K.Suraphol,Expense,,,"40,000.00",,"40,000.00",,01/01/2026,"40,000.00","40,000.00",,,01/01/2026,,"40,000.00"
Naresuan University,12 MW,C28,,Expense Claim for Meeting Room fee Naresuan Project,K. Niramon,Expense,,,"2,800.00",,"2,800.00",,01/01/2026,"2,800.00","2,800.00",,,01/01/2026,,"2,800.00"
Naresuan University,12 MW,AT1,,Air Ticket to Naresuan Project 19-20 Sep 2024,K.Niramon,Expense,,,"4,950.00",,"4,950.00",,12/01/2024,"4,950.00","4,950.00",,,12/01/2024,,"4,950.00"
Naresuan University,12 MW,AT2,,Air Ticket to Naresuan Project 22 Jan 2025,"K.Niramon, K. Suraphol",Expense,,,"17,950.00",,"17,950.00",,04/01/2025,"17,950.00","17,950.00",,,04/01/2025,,"17,950.00"
Naresuan University,12 MW,AT3,,Air Ticket to Naresuan Project 3 Feb 2025,K. Suraphol,Expense,,,"6,950.00",,"6,950.00",,04/02/2025,"6,950.00","6,950.00",,,04/01/2025,,"6,950.00"
Naresuan University,12 MW,AT4,,Air Ticket to Naresuan Project 7 Feb 2025,K. Suraphol,Expense,,,"7,950.00",,"7,950.00",,04/03/2025,"7,950.00","7,950.00",,,04/01/2025,,"7,950.00"
Naresuan University,12 MW,AT5,,Air Ticket to Naresuan Project 22 Apr 2025,K. Suraphol,Expense,,,"4,950.00",,"4,950.00",,05/01/2025,"4,950.00","4,950.00",,,05/01/2025,,"4,950.00"
Naresuan University,12 MW,AT6,,Air Ticket to Naresuan Project 26 Apr 2025,K. Suraphol,Expense,,,"4,850.00",,"4,850.00",,05/01/2025,"4,850.00","4,850.00",,,05/01/2025,,"4,850.00"
Naresuan University,12 MW,AT7,,Air Ticket to Naresuan Project 25 Apr 2025,K.Suwit,Expense,,,"8,150.00",,"8,150.00",,05/01/2025,"8,150.00","8,150.00",,,05/01/2025,,"8,150.00"
